articulum,listings,min_price,median_price,avg_price,max_price,le_1200,le_2000
4F0616013,127,800,7500.0,8276.7322834645669291,40330,1,1
4M0616005,241,800,20000.0,25115.526970954357,291900,20,28
LR008958,63,800,15000.0,16926.190476190476,65000,1,5
LR029140,40,807,9687.5,8952.4500000000000000,19147,3,3
4K0807065GRU,65,810,13300.0,26853.784615384615,237500,2,2
4M0423812D,54,810,6392.0,11887.037037037037,1.5E+5,2,7
A1678850406,45,810,4860.0,7772.5111111111111111,27209,2,2
LR015463,103,810,5700.0,12980.883495145631,83665,2,8
LR059264,62,820,4844.0,6538.9677419354838710,16230,6,8
TDR500100,42,835,7550.0,7254.7619047619047619,16325,4,9
11537509227,118,836,4097.0,5679.9406779661016949,27885,2,18
5N0919087H,94,836,5362.5,8161.9893617021276596,49724,1,3
A1665005275,22,850,8170.0,8282.4545454545454545,19707,1,1
LR015177,29,850,30000.0,28182.551724137931,65000,1,1
4H0898037,135,850,4000.0,7726.0592592592592593,36000,2,17
LR137499,12,855,28956.5,23865.583333333333,42025,1,1
06E103547F,40,860,6015.5,21367.725000000000,5.5E+5,1,4
8W0615301T,113,870,5499.0,9802.2123893805309735,169000,4,5
CT908WP1,64,870,9913.5,9992.5625000000000000,35471,2,2
A0004209403,59,875,6000.0,7010.9661016949152542,24300,1,6
A0004201405,36,880,5442.5,6046.0833333333333333,12027,1,2
7L0837461F,160,880,3500.0,5652.1437500000000000,32448,1,14
06E121045BB,41,888,3890.0,5361.0487804878048780,14024,2,2
A2463772400,74,890,4490.0,6109.3378378378378378,27500,1,9
06K103495T,23,900,6560.0,7378.0000000000000000,18000,1,2
A2721402201,49,900,26600.0,35513.510204081633,183598,1,1
A0997503500,94,900,5750.0,7494.8404255319148936,23750,2,4
A007420102041,68,900,3220.0,4127.6323529411764706,11718,4,15
A0024601948,18,900,10908.0,10329.8888888888888889,17480,1,2
A0004209603,104,900,5729.5,7875.3750000000000000,25100,3,9
A0004205102,133,900,7477.0,10733.293233082707,1.5E+5,2,2
AX2Q6K682CB,152,900,19755.0,25721.894736842105,127000,2,3
4H0615601H,76,900,7973.5,12165.118421052632,97000,2,2
LR022564,17,900,14700.0,13763.117647058824,23504,1,1
LR024473,62,900,10120.0,12222.209677419355,60658,1,1
06K906262D,24,900,2381.0,4129.3333333333333333,12500,1,10
LR181676,36,900,5000.0,7886.6944444444444444,31360,1,5
03-F121004E,94,900,7276.0,8287.4255319148936170,53797,1,14
A2133302100,80,900,9390.0,13831.487500000000,43840,1,1
06H115105GC,25,902,23120.0,18901.320000000000,37320,1,1
LR180125,33,902,11261.0,11286.393939393939,23543,1,2
A0064204120,116,913,4975.0,6133.5517241379310345,35200,1,13
WJI500030,52,919,6000.0,6282.1153846153846154,15000,1,1
A0044204020,54,919,4986.5,5915.3888888888888889,17903,2,3
A2123204630,91,920,5000.0,7444.0769230769230769,38000,3,15
06K103269F,82,930,3930.0,5444.6219512195121951,19685,2,10
03C127026C,83,930,11999.0,12646.783132530120,36100,1,1
8V0880204G,68,930,8932.5,21235.279411764706,1.0E+5,2,5
03H109507,40,936,5890.0,5730.5250000000000000,14600,5,14
06E109465,87,936,16200.0,17732.528735632184,48160,4,5
03C121004K,47,946,10620.0,14550.659574468085,42680,1,1
LR111341,12,946,9896.0,8963.6666666666666667,13175,1,1
51745A22C60,149,949,9090.0,15406.449664429530,175000,6,7
WGS500110,74,950,15000.0,29648.445945945946,191460,2,3
A1673306700,24,950,22384.0,29222.583333333333,69418,1,1
A2722000515,84,950,5005.0,8314.9047619047619048,37080,3,9
LR108980,66,950,9950.0,11149.454545454545,8E+4,12,18
A1669060002,138,955,2335.0,4126.6521739130434783,23802,15,66
A2700109703,89,960,6100.0,7001.3932584269662921,30900,2,5
A6512007701,124,960,6900.0,109828.145161290323,1.200E+7,2,9
80A945070,72,966,9450.0,12926.527777777778,40290,1,4
9Y0698451AC,92,983,9467.5,17688.750000000000,3.9E+5,1,1
A0019828108,160,990,25320.0,25108.143750000000,255000,1,3
5658070619B9,127,990,4700.0,6866.1338582677165354,37000,8,22
LR057662,29,999,39200.0,40072.586206896552,105132,1,7
A6420102528,48,999,15990.0,18754.270833333333,42000,1,1
003519185F,48,999,7710.0,9926.5625000000000000,99000,1,4
A6450900048,67,999,8075.0,15225.402985074627,47650,1,2
4G0698151AH,11,999,8100.0,7967.0000000000000000,13000,1,1
A0004200205,48,999,3642.5,4917.0000000000000000,15269,2,18
4F0199382BL,45,999,5300.0,9686.6888888888888889,42973,1,3
A2213370245,121,999,12680.0,12661.396694214876,60600,1,3
A1643300801,42,999,10725.0,11023.904761904762,25000,1,1
A2762010701,23,999,7000.0,7436.8260869565217391,14500,1,1
